,Unnamed: 0,Date,Sentiments,Stock Name,Ticker,Closing Price,Shares Traded,Normalized Value
166,166,4/1/2018,0.139292857,UnitedHealth Group Inc,,,,
167,167,3/31/2018,0.2253,UnitedHealth Group Inc,,,,
168,168,4/6/2018,0.58605,United Technologies Corp,UTX,122.76,4454247,-0.590033223
169,169,4/5/2018,0.21634,United Technologies Corp,UTX,125.76,4078888,0.406644518
170,170,4/4/2018,0.21075,United Technologies Corp,UTX,125.77,7261233,0.409966777
171,171,4/3/2018,0.453316667,United Technologies Corp,UTX,124.91,3804500,0.124252492
172,172,4/2/2018,0.4215,United Technologies Corp,UTX,123.48,6596490,-0.350830565
173,173,4/1/2018,0.45968,United Technologies Corp,,,,
174,174,3/31/2018,,United Technologies Corp,,,,
175,175,4/6/2018,0.090607692,Verizon Communications Inc,VZ,47.48,16071594,-0.168518519
176,176,4/5/2018,0.050386667,Verizon Communications Inc,VZ,48.24,13201329,0.535185185
177,177,4/4/2018,0.032315385,Verizon Communications Inc,VZ,47.93,12376358,0.248148148
178,178,4/3/2018,0.107072727,Verizon Communications Inc,VZ,47.5,14841286,-0.15
179,179,4/2/2018,0.047433333,Verizon Communications Inc,VZ,47.16,16511150,-0.464814815
180,180,4/1/2018,0.201557143,Verizon Communications Inc,,,,
181,181,3/31/2018,0.266092105,Verizon Communications Inc,,,,
182,182,4/6/2018,0.030458,Visa Inc,V,117.7,8383796,-0.446418338
183,183,4/5/2018,-0.174769767,Visa Inc,V,121.19,6815997,0.553581662
184,184,4/4/2018,0.109919231,Visa Inc,V,119.81,8425714,0.158166189
185,185,4/3/2018,0.225431507,Visa Inc,V,119.2,7084805,-0.016618911
186,186,4/2/2018,0.07429,Visa Inc,V,118.39,9877103,-0.248710602
187,187,4/1/2018,0.005081053,Visa Inc,,,,
188,188,3/31/2018,0.01467,Visa Inc,,,,
189,189,4/6/2018,0.085702273,Walmart Inc,WMT,86.69,6349953,-0.054867257
190,190,4/5/2018,0.20676,Walmart Inc,WMT,87.81,6380937,0.440707965
191,191,4/4/2018,0.073422,Walmart Inc,WMT,87.22,6536578,0.179646018
192,192,4/3/2018,0.185234,Walmart Inc,WMT,86.8,9695513,-0.00619469
193,193,4/2/2018,0.111113402,Walmart Inc,WMT,85.55,19128893,-0.559292035
194,194,4/1/2018,0.054738776,Walmart Inc,,,,
195,195,3/31/2018,0.1605,Walmart Inc,,,,
196,196,4/6/2018,0.163263529,Walt Disney Co,DIS,100.35,7162386,0.015072464
197,197,4/5/2018,0.199028571,Walt Disney Co,DIS,102.11,6612756,0.525217391
198,198,4/4/2018,0.156448,Walt Disney Co,DIS,100.95,8759236,0.188985507
199,199,4/3/2018,0.217678,Walt Disney Co,DIS,99.42,8484678,-0.254492754
200,200,4/2/2018,0.133644048,Walt Disney Co,DIS,98.66,8203692,-0.474782609
201,201,4/1/2018,0.159159494,Walt Disney Co,,,,
202,202,3/31/2018,0.192998305,Walt Disney Co,,,,
203,203,4/6/2018,,DowDuPont Inc,,,,
204,204,4/5/2018,0.022042857,DowDuPont Inc,,,,
205,205,4/4/2018,0.02654,DowDuPont Inc,,,,
206,206,4/3/2018,0.085,DowDuPont Inc,,,,
207,207,4/2/2018,0.044,DowDuPont Inc,,,,
208,208,4/1/2018,0.034,DowDuPont Inc,,,,
209,209,3/31/2018,0.084041667,DowDuPont Inc,,,,
